iter	Passed	Remaining
0	138	110465
1	152	60914
2	163	43463
3	175	34833
4	187	29844
5	217	28836
6	229	26016
7	240	23849
8	256	22533
9	273	21581
10	289	20736
11	307	20161
12	320	19396
13	333	18744
14	349	18292
15	362	17780
16	375	17294
17	391	16986
18	406	16725
19	421	16433
20	434	16102
21	446	15787
22	461	15581
23	478	15466
24	493	15300
25	510	15196
26	523	14987
27	537	14819
28	548	14592
29	560	14398
30	572	14199
31	582	13991
32	594	13812
33	603	13596
34	616	13476
35	628	13332
36	642	13243
37	654	13130
38	666	13004
39	679	12910
40	692	12815
41	705	12729
42	715	12596
43	729	12531
44	742	12450
45	762	12495
46	774	12401
47	784	12291
48	796	12213
49	808	12130
50	818	12014
51	827	11905
52	837	11807
53	848	11716
54	859	11648
55	871	11581
56	882	11509
57	894	11447
58	904	11359
59	913	11269
60	925	11211
61	936	11149
62	948	11097
63	958	11017
64	969	10964
65	978	10885
66	989	10830
67	1002	10788
68	1011	10712
69	1021	10648
70	1030	10580
71	1039	10509
72	1048	10446
73	1058	10389
74	1069	10339
75	1080	10293
76	1114	10467
77	1123	10398
78	1132	10339
79	1141	10272
80	1150	10208
81	1160	10159
82	1168	10096
83	1178	10047
84	1187	9985
85	1195	9929
86	1203	9865
87	1211	9805
88	1221	9754
89	1229	9697
90	1240	9665
91	1249	9617
92	1258	9565
93	1266	9512
94	1274	9459
95	1283	9409
96	1292	9366
97	1300	9317
98	1308	9264
99	1316	9218
100	1325	9172
101	1333	9123
102	1342	9085
103	1351	9044
104	1360	9003
105	1368	8959
106	1376	8916
107	1385	8875
108	1394	8839
109	1405	8816
110	1413	8776
111	1424	8747
112	1432	8706
113	1440	8668
114	1449	8632
115	1457	8594
116	1465	8554
117	1474	8522
118	1482	8483
119	1490	8448
120	1501	8424
121	1513	8409
122	1522	8380
123	1533	8357
124	1543	8336
125	1551	8299
126	1558	8258
127	1566	8221
128	1573	8185
129	1581	8148
130	1588	8112
131	1597	8083
132	1604	8046
133	1612	8012
134	1621	7988
135	1629	7958
136	1637	7924
137	1646	7897
138	1655	7870
139	1663	7840
140	1670	7809
141	1680	7789
142	1689	7761
143	1696	7729
144	1704	7700
145	1713	7673
146	1721	7647
147	1730	7625
148	1739	7599
149	1749	7582
150	1758	7556
151	1766	7531
152	1774	7502
153	1781	7475
154	1790	7451
155	1802	7440
156	1814	7429
157	1825	7418
158	1841	7424
159	1862	7450
160	1876	7446
161	1888	7436
162	1900	7426
163	1911	7411
164	1928	7420
165	1954	7465
166	1964	7447
167	1972	7421
168	1983	7404
169	1992	7383
170	2004	7373
171	2018	7371
172	2030	7357
173	2039	7335
174	2047	7311
175	2056	7290
176	2065	7271
177	2073	7244
178	2084	7230
179	2097	7223
180	2105	7201
181	2119	7196
182	2138	7208
183	2146	7187
184	2154	7161
185	2162	7137
186	2170	7114
187	2177	7089
188	2186	7069
189	2197	7054
190	2204	7027
191	2216	7019
192	2224	6996
193	2233	6977
194	2240	6952
195	2248	6928
196	2254	6902
197	2262	6879
198	2270	6856
199	2278	6834
200	2286	6813
201	2296	6799
202	2305	6780
203	2315	6765
204	2325	6749
205	2334	6732
206	2346	6721
207	2356	6706
208	2363	6683
209	2371	6664
210	2379	6643
211	2388	6625
212	2396	6605
213	2405	6587
214	2413	6568
215	2423	6553
216	2433	6539
217	2453	6549
218	2462	6532
219	2470	6512
220	2479	6495
221	2488	6478
222	2497	6461
223	2504	6441
224	2511	6418
225	2521	6404
226	2530	6386
227	2540	6374
228	2549	6358
229	2557	6338
230	2566	6322
231	2574	6303
232	2583	6285
233	2591	6267
234	2601	6254
235	2614	6248
236	2622	6230
237	2632	6216
238	2644	6206
239	2654	6194
240	2666	6184
241	2675	6169
242	2684	6152
243	2693	6138
244	2701	6119
245	2711	6105
246	2720	6089
247	2728	6072
248	2737	6058
249	2745	6039
250	2754	6024
251	2762	6007
252	2771	5992
253	2780	5976
254	2788	5960
255	2804	5960
256	2814	5947
257	2824	5933
258	2832	5916
259	2840	5899
260	2848	5883
261	2857	5867
262	2867	5855
263	2874	5836
264	2881	5818
265	2891	5803
266	2899	5789
267	2907	5771
268	2915	5755
269	2923	5738
270	2935	5729
271	2942	5711
272	2950	5694
273	2956	5676
274	2965	5661
275	2972	5642
276	2981	5629
277	2988	5612
278	2997	5597
279	3005	5580
280	3012	5564
281	3020	5548
282	3030	5535
283	3037	5518
284	3046	5505
285	3055	5490
286	3063	5476
287	3071	5460
288	3078	5443
289	3086	5427
290	3093	5411
291	3101	5396
292	3109	5380
293	3117	5366
294	3124	5348
295	3133	5334
296	3141	5320
297	3150	5307
